Sigla;Geocod;nome;PA2020;RA2020;PF2020;RF2020;PM2020;RM2020;PS2020;RS2020;PT2020;RT2020;PA2021;RA2021;PF2021;RF2021;PM2021;RM2021;PS2021;RS2021;PT2021;RT2021;PA2022;RA2022;PF2022;RF2022;PM2022;RM2022;PS2022;RS2022;PT2022;RT2022;PA2023;RA2023;PF2023;RF2023;PM2023;RM2023;PS2023;RS2023;PT2023;RT2023;PA2024;RA2024;PF2024;RF2024;PM2024;RM2024;PS2024;RS2024;PT2024;RT2024
ME;4201;  Oeste Catarinense;53;64;51230;27152;1697196;1697196;1200017;1800026;96142;124985;21;25;41982;22250;872970;872970;1085213;1627820;171295;222684;22;26;60875;32264;1090657;1090657;912693;1369040;248901;323571;25;30;62773;33270;1417442;1417442;1442457;2163686;196934;256014;25;30;67533;35792;996043;996043;1369528;2054292;267335;347536
MI;42001;    São Miguel do Oeste;-;0;4450;2359;285343;285343;143465;215198;9212;11976;-;0;3603;1910;95885;95885;123453;185180;24693;32101;-;0;6050;3207;129354;129354;69480;104220;27916;36291;-;0;5844;3097;208107;208107;180748;271122;31013;40317;-;0;6179;3275;151999;151999;172261;258392;36935;48016
MU;4200804;      Anchieta;-;0;48;25;8700;8700;2792;4188;105;137;-;0;66;35;3240;3240;2640;3960;270;351;-;0;47;25;2808;2808;2160;3240;410;533;-;0;90;48;4980;4980;2880;4320;540;702;-;0;186;99;3360;3360;3480;5220;450;585
MU;4202081;      Bandeirante;-;0;32;17;9781;9781;2220;3330;240;312;-;0;15;8;4104;4104;1907;2861;450;585;-;0;20;11;5400;5400;1170;1755;540;702;-;0;39;21;10800;10800;2850;4275;495;644;-;0;18;10;2820;2820;3690;5535;728;946
MU;4202099;      Barra Bonita;-;0;16;8;6330;6330;227;341;-;0;-;0;8;4;2005;2005;378;567;192;250;-;0;6;3;3654;3654;275;413;156;203;-;0;12;6;5616;5616;460;690;173;225;-;0;30;16;3024;3024;768;1152;525;683
MU;4202156;      Belmonte;-;0;-;0;15264;15264;3215;4823;42;55;-;0;-;0;900;900;3114;4671;240;312;-;0;35;19;7140;7140;1164;1746;1008;1310;-;0;-;0;8850;8850;2700;4050;588;764;-;0;81;43;8805;8805;3780;5670;1552;2018
MU;4204905;      Descanso;-;0;180;95;36660;36660;8910;13365;231;300;-;0;180;95;21956;21956;7380;11070;252;328;-;0;120;64;19437;19437;3120;4680;1980;2574;-;0;120;64;27660;27660;11190;16785;4500;5850;-;0;474;251;25500;25500;12675;19013;6120;7956
MU;4205001;      Dionísio Cerqueira;-;0;492;261;10349;10349;27036;40554;2016;2621;-;0;600;318;4734;4734;23760;35640;4620;6006;-;0;1182;626;4955;4955;16686;25029;3900;5070;-;0;615;326;6000;6000;30210;45315;4500;5850;-;0;495;262;5040;5040;28080;42120;3300;4290
MU;4206405;      Guaraciaba;-;0;452;240;21421;21421;19056;28584;830;1079;-;0;411;218;10560;10560;16920;25380;3960;5148;-;0;603;320;12419;12419;8028;12042;4320;5616;-;0;704;373;20448;20448;23520;35280;3300;4290;-;0;599;317;16009;16009;21300;31950;2970;3861
MU;4206603;      Guarujá do Sul;-;0;77;41;3848;3848;3952;5928;420;546;-;0;153;81;1476;1476;4199;6299;783;1018;-;0;90;48;1479;1479;2955;4433;609;792;-;0;294;156;3354;3354;7281;10922;750;975;-;0;318;169;2920;2920;6946;10419;1320;1716
